currency,details,image,images,ingredients,price,product_description,product_id,product_name,product_url,regular_price,unique_id
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3737-0845846188-Ai6XukEF.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3737-0845846188-Ai6XukEF-medium.png",,"Zutaten: pflanzliche Öle (Sonnenblumenöl, Rapsöl)",3.29,Bruttogewicht: 2 Kilogramm,27-3737,"Feines Pflanzenöl, 2l",https://www.cleverleben.at/produkt/feines-pflanzenoel-2l-273737,3.29,273737
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3736-01009858068-DjuS_WGe.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3736-01009858068-DjuS_WGe-medium.png",,"Zutaten: Weinessig (enthält SULFITE), konzentrierter rektifizierter Traubenmost.",1.59,Enthält - Ist im Produkt enthalten,27-3736,"Condimento Bianco, 500ml",https://www.cleverleben.at/produkt/condimento-bianco-500ml-273736,1.59,273736
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3742-01690902042-dUxsGUNr.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3742-01690902042-dUxsGUNr-medium.png",,"Zutaten: Tomatenmark konzentriert (150 g Tomaten je 100 g Ketchup), Trinkwasser, Zucker, Weingeistessig, modifizierte Stärke, Speisesalz, Säuerungsmittel: Citronensäure; Konservierungsstoff : Natriumbenzoat; Verdickungsmittel: Xanthan; Gewürzmischung.",2.19,Enthält - Ist im Produkt enthalten,27-3742,"Ketchup, 1,4kg",https://www.cleverleben.at/produkt/ketchup-14kg-273742,2.19,273742
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3734-01128368789-ib3YDZAa.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3734-01128368789-ib3YDZAa-medium.png",,"Zutaten: Weinessig (enthält SULFITE), konzentrierter Traubenmost.",1.59,Enthält - Ist im Produkt enthalten,27-3734,"Aceto Balsamico, 500ml",https://www.cleverleben.at/produkt/aceto-balsamico-500ml-273734,1.59,273734
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-24724-01756610378-Mxsbnx2Z.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-24724-01756610378-Mxsbnx2Z-medium.png",,"Zutaten: Trinkwasser, Tomatenmark konzentriert 20% (entspricht 150g Tomaten je 100 g Ketchup), Zucker, modifizierte Stärke, iodiertes Speisesalz (Salz, Kaliumjodat), Säuerungsmittel: Essigsäure; Gewürze.",1.25,"Bruttogewicht: 0,493 Kilogramm",27-24724,"Tomatenketchup, 460g",https://www.cleverleben.at/produkt/tomatenketchup-460g-2724724,1.25,2724724
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-24500-890259824-xlxmSA4l.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-24500-890259824-xlxmSA4l-medium.png",,Zutaten: Sonnenblumenöl,5.79,"Bruttogewicht: 2,833 Kilogramm",27-24500,"Rapsöl, 3L",https://www.cleverleben.at/produkt/rapsoel-3l-2724500,5.79,2724500
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23722-01776222545-OmTZWFuc.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23722-01776222545-OmTZWFuc-medium.png",,"Zutaten: Wasser, Rapsöl, 7% JOGHURT, Zucker, 5% Knoblauch, Zwiebeln, modifizierte Stärke, Weingeistessig, Speisesalz, SENF (Wasser, SENFKÖRNER, Weingeistessig, Speisesalz, Zucker, Gewürze, Gewürzextrakte), HÜHNEREIGELBPULVER*, Zitronensaftkonzentrat, Petersilie, Verdickungsmittel: Guarkernmehl, Xanthan, Tarakernmehl, SELLERIEPULVER.",1.25,Enthält - Ist im Produkt enthalten,27-23722,"Knoblauch Sauce, 250ml",https://www.cleverleben.at/produkt/knoblauch-sauce-250ml-2723722,1.25,2723722
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23720-01812618698-rzyEAp2B.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23720-01812618698-rzyEAp2B-medium.png",,"Zutaten: Wasser, Zucker, Weingeistessig, 3% Peperoni-Paste (Peperoni, Speisesalz, Säuerungsmittel: Citronensäure, Konservierungsstoff: Natriumbenzoat, Festigungsmittel: Calciumchlorid), modifizierte Stärke, Knoblauch, 2% Chili, Speisesalz, Verdickungsmittel: Xanthan.",1.25,"Bruttogewicht: 0,489 Kilogramm",27-23720,"Sweet Chili Sauce, 250ml",https://www.cleverleben.at/produkt/sweet-chili-sauce-250ml-2723720,1.25,2723720
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23719-0668074995-fmGaAisg.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23719-0668074995-fmGaAisg-medium.png",,"Zutaten: Wasser, Rapsöl, 14% Tomatenmark einfach konzentriert, Zucker, Weingeistessig, SENF (Wasser, SENFSAAT, Weingeistessig, Speisesalz, Zucker, Gewürze), Speisesalz, 1% Weinbrand, modifizierte Stärke, Verdickungsmittel: Guarkernmehl, Xanthan, Tarakernmehl; Meerrettichcreme (Meerrettich, Weingeistessig, Rapsöl, MOLKENERZEUGNIS, Speisesalz, Verdickungsmittel: Guarkernmehl, Säuerungsmittel: Citronensäure, Antioxidationsmittel: NATRIUMMETABISULFIT), HÜHNEREIGELBPULVER*, Worchestersauce (Weingeistessig, GERSTENMALZESSIG, Wasser, Zucker, Speisesalz, Karamellzuckersirup, Gewürze (enthält SELLERIE), Zitronenöl), Gewürze.",1.25,Enthält - Ist im Produkt enthalten,27-23719,"Cocktail Sauce, 250ml",https://www.cleverleben.at/produkt/cocktail-sauce-250ml-2723719,1.25,2723719
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-22199-0142524657-r0Jpyxgk.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-22199-0142524657-r0Jpyxgk-medium.png",,,6.99,"Bruttogewicht: 0,848 Kilogramm",27-22199,"Kürbiskernöl, 500ml",https://www.cleverleben.at/produkt/kuerbiskernoel-500ml-2722199,6.99,2722199
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-20733-1602363250-Grp2GtDT.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-20733-1602363250-Grp2GtDT-medium.png",,"Zutaten: Gelbe Paprika 26%, rote Paprika 25%, Sonnenblumenöl, Ricotta MolkeneiweißKÄSE 10% (SÜSSMOLKE, SAHNE, Salz), Grana Padano g.U. Käse 7% (MILCH, Salz, Lab, Lysozym",1.49,Enthält - Ist im Produkt enthalten,27-20733,"Pesto alla Calabrese, 190g",https://www.cleverleben.at/produkt/pesto-alla-calabrese-190g-2720733,1.49,2720733
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-1988-1563345932-3MXfcSX4.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-1988-1563345932-3MXfcSX4-medium.png",,"Zutaten: Tomaten, Salz.",0.69,"Bruttogewicht: 0,505 Kilogramm",27-1988,"Passierte Tomaten, 500g",https://www.cleverleben.at/produkt/passierte-tomaten-500g-271988,0.69,271988
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-13584-1495400480-KClDoC4p.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-13584-1495400480-KClDoC4p-medium.png",,"Zutaten: raffiniertes Olivenöl, natives Olivenöl extra.",5.99,"Bruttogewicht: 0,959 Kilogramm",27-13584,"Olivenöl raffiniert, 1L",https://www.cleverleben.at/produkt/olivenoel-raffiniert-1l-2713584,5.99,2713584
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-12849-970304470-4YbJ9OY0.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-12849-970304470-4YbJ9OY0-medium.png",,,1.49,Kann Spuren enthalten von,27-12849,"Pesto Rosso, 190g",https://www.cleverleben.at/produkt/pesto-rosso-190g-2712849,1.49,2712849
